v8-version,3,32,7,0,0
code-creation,Stub,2,0x24ef7c706000,404,"CEntryStub"
code-creation,Stub,2,0x24ef7c7061a0,580,"CEntryStub"
code-creation,Stub,2,0x24ef7c706400,168,"StoreBufferOverflowStub"
code-creation,Stub,2,0x24ef7c7064c0,388,"StoreBufferOverflowStub"
code-creation,Stub,2,0x24ef7c706660,116,"StubFailureTrampolineStub"
code-creation,Stub,2,0x24ef7c7066e0,117,"StubFailureTrampolineStub"
code-creation,Stub,2,0x24ef7c706760,454,"ArrayNoArgumentConstructorStub_FAST_SMI_ELEMENTS"
code-creation,Stub,2,0x24ef7c706940,418,"ArrayNoArgumentConstructorStub_FAST_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x24ef7c706b00,474,"ArrayNoArgumentConstructorStub_FAST_HOLEY_SMI_ELEMENTS"
code-creation,Stub,2,0x24ef7c706ce0,434,"ArrayNoArgumentConstructorStub_FAST_HOLEY_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x24ef7c706ea0,414,"ArrayNoArgumentConstructorStub_FAST_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x24ef7c707040,414,"ArrayNoArgumentConstructorStub_FAST_HOLEY_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x24ef7c7071e0,434,"ArrayNoArgumentConstructorStub_FAST_ELEMENTS"
code-creation,Stub,2,0x24ef7c7073a0,434,"ArrayNoArgumentConstructorStub_FAST_HOLEY_ELEMENTS"
code-creation,Stub,2,0x24ef7c707560,578,"ArraySingleArgumentConstructorStub_FAST_SMI_ELEMENTS"
code-creation,Stub,2,0x24ef7c7077c0,538,"ArraySingleArgumentConstructorStub_FAST_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x24ef7c7079e0,594,"ArraySingleArgumentConstructorStub_FAST_HOLEY_SMI_ELEMENTS"
code-creation,Stub,2,0x24ef7c707c40,558,"ArraySingleArgumentConstructorStub_FAST_HOLEY_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x24ef7c707e80,562,"ArraySingleArgumentConstructorStub_FAST_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x24ef7c7080c0,562,"ArraySingleArgumentConstructorStub_FAST_HOLEY_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x24ef7c708300,558,"ArraySingleArgumentConstructorStub_FAST_ELEMENTS"
code-creation,Stub,2,0x24ef7c708540,558,"ArraySingleArgumentConstructorStub_FAST_HOLEY_ELEMENTS"
code-creation,Stub,2,0x24ef7c708780,546,"ArrayNArgumentsConstructorStub_FAST_SMI_ELEMENTS"
code-creation,Stub,2,0x24ef7c7089c0,506,"ArrayNArgumentsConstructorStub_FAST_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x24ef7c708bc0,562,"ArrayNArgumentsConstructorStub_FAST_HOLEY_SMI_ELEMENTS"
code-creation,Stub,2,0x24ef7c708e00,526,"ArrayNArgumentsConstructorStub_FAST_HOLEY_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x24ef7c709020,550,"ArrayNArgumentsConstructorStub_FAST_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x24ef7c709260,550,"ArrayNArgumentsConstructorStub_FAST_HOLEY_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x24ef7c7094a0,474,"ArrayNArgumentsConstructorStub_FAST_ELEMENTS"
code-creation,Stub,2,0x24ef7c709680,474,"ArrayNArgumentsConstructorStub_FAST_HOLEY_ELEMENTS"
code-creation,Stub,2,0x24ef7c709860,2723,"RecordWriteStub"
code-creation,Stub,2,0x24ef7c70a320,2680,"RecordWriteStub"
code-creation,Stub,2,0x24ef7c70ada0,566,"CreateAllocationSiteStub"
code-creation,Stub,11,0x24ef7c70afe0,149,"BinaryOpICStub(BIT_OR:None*None->None)"
code-creation,Stub,11,0x24ef7c70b080,149,"BinaryOpICStub(BIT_OR_ReuseLeft:None*None->None)"
code-creation,Stub,11,0x24ef7c70b120,149,"BinaryOpICStub(BIT_OR_ReuseRight:None*None->None)"
code-creation,Stub,11,0x24ef7c70b1c0,149,"BinaryOpICStub(BIT_XOR:None*None->None)"
code-creation,Stub,11,0x24ef7c70b260,149,"BinaryOpICStub(BIT_XOR_ReuseLeft:None*None->None)"
code-creation,Stub,11,0x24ef7c70b300,149,"BinaryOpICStub(BIT_XOR_ReuseRight:None*None->None)"
code-creation,Stub,11,0x24ef7c70b3a0,149,"BinaryOpICStub(BIT_AND:None*None->None)"
code-creation,Stub,11,0x24ef7c70b440,149,"BinaryOpICStub(BIT_AND_ReuseLeft:None*None->None)"
code-creation,Stub,11,0x24ef7c70b4e0,149,"BinaryOpICStub(BIT_AND_ReuseRight:None*None->None)"
code-creation,Stub,11,0x24ef7c70b580,149,"BinaryOpICStub(SHL:None*None->None)"
code-creation,Stub,11,0x24ef7c70b620,149,"BinaryOpICStub(SHL_ReuseLeft:None*None->None)"
code-creation,Stub,11,0x24ef7c70b6c0,149,"BinaryOpICStub(SHL_ReuseRight:None*None->None)"
code-creation,Stub,11,0x24ef7c70b760,149,"BinaryOpICStub(SAR:None*None->None)"
code-creation,Stub,11,0x24ef7c70b800,149,"BinaryOpICStub(SAR_ReuseLeft:None*None->None)"
code-creation,Stub,11,0x24ef7c70b8a0,149,"BinaryOpICStub(SAR_ReuseRight:None*None->None)"
code-creation,Stub,11,0x24ef7c70b940,149,"BinaryOpICStub(SHR:None*None->None)"
code-creation,Stub,11,0x24ef7c70b9e0,149,"BinaryOpICStub(SHR_ReuseLeft:None*None->None)"
code-creation,Stub,11,0x24ef7c70ba80,149,"BinaryOpICStub(SHR_ReuseRight:None*None->None)"
code-creation,Stub,11,0x24ef7c70bb20,149,"BinaryOpICStub(ROR:None*None->None)"
code-creation,Stub,11,0x24ef7c70bbc0,149,"BinaryOpICStub(ROR_ReuseLeft:None*None->None)"
code-creation,Stub,11,0x24ef7c70bc60,149,"BinaryOpICStub(ROR_ReuseRight:None*None->None)"
code-creation,Stub,11,0x24ef7c70bd00,149,"BinaryOpICStub(ADD:None*None->None)"
code-creation,Stub,11,0x24ef7c70bda0,149,"BinaryOpICStub(ADD_ReuseLeft:None*None->None)"
code-creation,Stub,11,0x24ef7c70be40,149,"BinaryOpICStub(ADD_ReuseRight:None*None->None)"
code-creation,Stub,11,0x24ef7c70bee0,149,"BinaryOpICStub(SUB:None*None->None)"
code-creation,Stub,11,0x24ef7c70bf80,149,"BinaryOpICStub(SUB_ReuseLeft:None*None->None)"
code-creation,Stub,11,0x24ef7c70c020,149,"BinaryOpICStub(SUB_ReuseRight:None*None->None)"
code-creation,Stub,11,0x24ef7c70c0c0,149,"BinaryOpICStub(MUL:None*None->None)"
code-creation,Stub,11,0x24ef7c70c160,149,"BinaryOpICStub(MUL_ReuseLeft:None*None->None)"
code-creation,Stub,11,0x24ef7c70c200,149,"BinaryOpICStub(MUL_ReuseRight:None*None->None)"
code-creation,Stub,11,0x24ef7c70c2a0,149,"BinaryOpICStub(DIV:None*None->None)"
code-creation,Stub,11,0x24ef7c70c340,149,"BinaryOpICStub(DIV_ReuseLeft:None*None->None)"
code-creation,Stub,11,0x24ef7c70c3e0,149,"BinaryOpICStub(DIV_ReuseRight:None*None->None)"
code-creation,Stub,11,0x24ef7c70c480,149,"BinaryOpICStub(MOD:None*None->None)"
code-creation,Stub,11,0x24ef7c70c520,149,"BinaryOpICStub(MOD_ReuseLeft:None*None->None)"
code-creation,Stub,11,0x24ef7c70c5c0,149,"BinaryOpICStub(MOD_ReuseRight:None*None->None)"
